object_id,name,type,world_x,world_y,plane,orientation,texture_ids,current_material,current_authored_slot,observation_count,source_exports
1018,Shelves,GAME,3233,3201,0,1536,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
10586,null,GAME,3220,3217,0,512,8,FOLIAGE,1,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
10627,null,GROUND,3228,3212,1,0,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
10778,null,GAME,3223,3217,0,512,8,FOLIAGE,1,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
10818,null,GROUND,3220,3217,0,0,,UNKNOWN,0,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
10820,Oak tree,GAME,3219,3206,0,0,8|60,FOLIAGE,1,1,chunk-3216-3200-20260828-095451
1107,null,DECORATIVE,3227,3214,1,0,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1107,null,DECORATIVE,3227,3223,1,0,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1107,null,DECORATIVE,3230,3214,1,2,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1107,null,DECORATIVE,3230,3223,1,2,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1124,Bush,GAME,3218,3217,0,0,8,FOLIAGE,1,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
1124,Bush,GAME,3218,3220,0,0,8,FOLIAGE,1,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
1124,Bush,GAME,3219,3217,0,0,8,FOLIAGE,1,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
1124,Bush,GAME,3219,3220,0,0,8,FOLIAGE,1,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
1173,Small fern,GAME,3218,3203,0,0,,UNKNOWN,0,1,chunk-3216-3200-20260828-095451
1187,Flower,GAME,3205,3201,0,1024,,UNKNOWN,0,1,chunk-3200-3200-20260828-095443
1187,Flower,GAME,3209,3201,0,512,,UNKNOWN,0,1,chunk-3208-3200-20260828-102215
1187,Flower,GAME,3211,3236,0,0,,UNKNOWN,0,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1187,Flower,GAME,3214,3203,0,0,,UNKNOWN,0,1,chunk-3208-3200-20260828-102215
1187,Flower,GAME,3214,3234,0,1024,,UNKNOWN,0,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1187,Flower,GAME,3219,3234,0,512,,UNKNOWN,0,1,chunk-3216-3232-20260828-095423
1187,Flower,GAME,3226,3210,0,1536,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1187,Flower,GAME,3226,3213,0,0,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1188,Flower,GAME,3221,3204,0,1536,,UNKNOWN,0,1,chunk-3216-3200-20260828-095451
1188,Flower,GAME,3221,3206,0,512,,UNKNOWN,0,1,chunk-3216-3200-20260828-095451
1188,Flower,GAME,3221,3233,0,1024,,UNKNOWN,0,1,chunk-3216-3232-20260828-095423
1188,Flower,GAME,3222,3230,0,512,,UNKNOWN,0,1,chunk-3216-3224-20260828-102155
1188,Flower,GAME,3223,3206,0,1024,,UNKNOWN,0,1,chunk-3216-3200-20260828-095451
1188,Flower,GAME,3223,3231,0,1536,,UNKNOWN,0,1,chunk-3216-3224-20260828-102155
1189,Daisies,GAME,3232,3213,0,1536,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
1189,Daisies,GAME,3233,3211,0,0,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
1189,Daisies,GAME,3237,3222,0,1792,,UNKNOWN,0,1,chunk-3232-3216-20260828-102126
