world_x,world_y,plane,scene_x,scene_y,render_level,underlay_id,overlay_id,texture_ids,tile_type,shape,rotation,paint_rgb,paint_sw_hsl,paint_se_hsl,paint_ne_hsl,paint_nw_hsl,model_underlay_color,model_overlay_color,model_triangle_hsl,average_rgb,observation_count,source_exports
3200,3200,0,16,40,0,48,-1,,PAINT,-1,-1,4809487,15120,15122,15124,15125,,,,#49630F,1,chunk-3200-3200-20260828-095443
3200,3201,0,16,41,0,48,-1,,PAINT,-1,-1,5268239,14101,14100,14099,14100,,,,#50630F,1,chunk-3200-3200-20260828-095443
3200,3202,0,16,42,0,48,-1,,PAINT,-1,-1,5268239,14100,14099,14096,14099,,,,#50630F,1,chunk-3200-3200-20260828-095443
3200,3203,0,16,43,0,48,-1,,PAINT,-1,-1,5726991,13075,13072,13068,13074,,,,#57630F,1,chunk-3200-3200-20260828-095443
3200,3204,0,16,44,0,47,-1,,PAINT,-1,-1,6383375,12050,12044,12041,12050,,,,#61670F,1,chunk-3200-3200-20260828-095443
3200,3204,1,16,44,1,-1,-1,,NONE,-1,-1,,,,,,,,,,1,chunk-3200-3200-20260828-095443
3200,3205,0,16,45,0,47,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,1,chunk-3200-3200-20260828-095443
3200,3206,0,16,46,0,47,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,1,chunk-3200-3200-20260828-095443
3200,3207,0,16,47,0,47,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,1,chunk-3200-3200-20260828-095443
3200,3208,0,16,40,0,47,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12049,,,,#61670F,1,chunk-3200-3208-20260828-102210
3200,3208,1,16,40,1,-1,-1,,NONE,-1,-1,,,,,,,,,,1,chunk-3200-3208-20260828-102210
3200,3209,0,16,41,0,47,-1,,PAINT,-1,-1,5924623,13073,13065,13065,13073,,,,#5A670F,1,chunk-3200-3208-20260828-102210
3200,3210,0,16,42,0,47,-1,,PAINT,-1,-1,5924623,13073,13065,13065,13073,,,,#5A670F,1,chunk-3200-3208-20260828-102210
3200,3211,0,16,43,0,47,-1,,PAINT,-1,-1,5924623,13073,13065,13065,13074,,,,#5A670F,1,chunk-3200-3208-20260828-102210
3200,3212,0,16,44,0,47,-1,,PAINT,-1,-1,5465871,14098,14089,14089,14098,,,,#53670F,1,chunk-3200-3208-20260828-102210
3200,3213,0,16,45,0,47,-1,,PAINT,-1,-1,4941583,15122,15113,15113,15122,,,,#4B670F,1,chunk-3200-3208-20260828-102210
3200,3213,1,16,45,1,-1,-1,,NONE,-1,-1,,,,,,,,,,1,chunk-3200-3208-20260828-102210
3200,3214,0,16,46,0,47,-1,,PAINT,-1,-1,4941583,15122,15113,15113,15122,,,,#4B670F,1,chunk-3200-3208-20260828-102210
3200,3215,0,16,47,0,47,-1,,PAINT,-1,-1,4941583,15122,15113,15113,15121,,,,#4B670F,1,chunk-3200-3208-20260828-102210
3200,3216,0,16,56,0,47,-1,,PAINT,-1,-1,4482831,16145,16137,16135,16139,,,,#44670F,1,chunk-3200-3216-20260828-095435
3200,3216,1,16,56,1,-1,-1,,NONE,-1,-1,,,,,,,,,,1,chunk-3200-3216-20260828-095435
3200,3217,0,16,57,0,47,-1,,PAINT,-1,-1,5458763,14,9,7,8,,,,#534B4B,1,chunk-3200-3216-20260828-095435
3200,3218,0,16,58,0,47,-1,,PAINT,-1,-1,5458763,8,7,12,13,,,,#534B4B,1,chunk-3200-3216-20260828-095435
3200,3219,0,16,59,0,47,-1,,PAINT,-1,-1,5458763,13,12,9,15,,,,#534B4B,1,chunk-3200-3216-20260828-095435
3200,3220,0,16,60,0,47,-1,,PAINT,-1,-1,4482831,16140,16135,16137,16143,,,,#44670F,1,chunk-3200-3216-20260828-095435
3200,3220,1,16,60,1,-1,-1,,NONE,-1,-1,,,,,,,,,,1,chunk-3200-3216-20260828-095435
3200,3221,0,16,61,0,47,-1,,PAINT,-1,-1,4482831,16143,16137,16137,16146,,,,#44670F,1,chunk-3200-3216-20260828-095435
3200,3222,0,16,62,0,47,-1,,PAINT,-1,-1,4941583,15122,15113,15113,15122,,,,#4B670F,1,chunk-3200-3216-20260828-095435
3200,3223,0,16,63,0,47,-1,,PAINT,-1,-1,4941583,15122,15113,15113,15122,,,,#4B670F,1,chunk-3200-3216-20260828-095435
3200,3224,0,16,56,0,47,-1,,PAINT,-1,-1,5465871,14098,14089,14089,14098,,,,#53670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3224,1,16,56,1,-1,-1,,NONE,-1,-1,,,,,,,,,,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3225,0,16,57,0,47,-1,,PAINT,-1,-1,5465871,14098,14089,14089,14098,,,,#53670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3226,0,16,58,0,47,-1,,PAINT,-1,-1,5924623,13074,13065,13065,13074,,,,#5A670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3227,0,16,59,0,47,-1,,PAINT,-1,-1,5924623,13074,13065,13065,13074,,,,#5A670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3228,0,16,60,0,47,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3229,0,16,61,0,53,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3229,1,16,61,1,-1,-1,,NONE,-1,-1,,,,,,,,,,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3230,0,16,62,0,53,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3200,3231,0,16,63,0,53,-1,,PAINT,-1,-1,6383375,12050,12041,12041,12050,,,,#61670F,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
3201,3200,0,17,40,0,48,-1,,PAINT,-1,-1,4809487,15122,15119,15122,15124,,,,#49630F,1,chunk-3200-3200-20260828-095443
3201,3201,0,17,41,0,48,-1,,PAINT,-1,-1,5268239,14100,14098,14096,14099,,,,#50630F,1,chunk-3200-3200-20260828-095443
3201,3202,0,17,42,0,48,-1,,PAINT,-1,-1,5924623,13076,13073,13070,13073,,,,#5A670F,1,chunk-3200-3200-20260828-095443
