texture_id,reference_file,available,source_exports
1,textures/texture-1.png,true,chunk-3200-3208-20260828-102210|chunk-3216-3224-20260828-102155
2,textures/texture-2.png,true,chunk-3200-3208-20260828-102210|chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437|chunk-3208-3200-20260828-102215|chunk-3208-3232-20260828-103429|chunk-3216-3216-20260828-102146|chunk-3216-3224-20260828-102155|chunk-3224-3208-20260828-102221|chunk-3224-3216-20260828-103417|chunk-3232-3200-20260828-102136|chunk-3232-3216-20260828-102126
3,textures/texture-3.png,true,chunk-3224-3208-20260828-102221|chunk-3224-3216-20260828-103417|chunk-3232-3200-20260828-102136
4,textures/texture-4.png,true,chunk-3200-3208-20260828-102210
6,textures/texture-6.png,true,chunk-3224-3208-20260828-102221|chunk-3232-3200-20260828-102136
7,,false,
8,textures/texture-8.png,true,chunk-3208-3232-20260828-103429|chunk-3216-3216-20260828-102146|chunk-3216-3224-20260828-102155|chunk-3232-3200-20260828-102136
11,textures/texture-11.png,true,chunk-3200-3208-20260828-102210|chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
13,textures/texture-13.png,true,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437|chunk-3232-3200-20260828-102136
14,textures/texture-14.png,true,chunk-3224-3208-20260828-102221
16,textures/texture-16.png,true,chunk-3200-3208-20260828-102210|chunk-3224-3208-20260828-102221|chunk-3224-3216-20260828-103417
17,textures/texture-17.png,true,chunk-3216-3224-20260828-102155
20,textures/texture-20.png,true,chunk-3232-3200-20260828-102136
46,,false,
60,textures/texture-60.png,true,chunk-3208-3232-20260828-103429|chunk-3216-3224-20260828-102155
